index,seed,homeTeam,homeYear,homeFormation,homeStyle,awayTeam,awayYear,awayFormation,awayStyle,completed,steps,minute,homeGoals,awayGoals,auditStatus,goals,shots,onTarget,xg,passes,passOk,corners,fouls,yellow,red,tackles,tackleAttempts,interceptions,dribblesAttempted,dribblesCompleted,crosses,crossesOk,throughBalls,throughOk,offsides,saves,setPieceShots,setPieceGoals,openPlayGoals,penaltyGoals,directFreeKickGoals,crossedFreeKickGoals,cornerGoals,r12StatIdentityErrors,r12LegacyParityErrors,r12TransactionErrors,r12MaxFinalStep,r10MaxStationary,r10MaxOwnedStationary,p04OwnerWithoutContact,p04BoundaryClamps,invalid,outPlayer,outBall,maxBallStep,maxActiveStationary,canonicalOpenPlayGoals,canonicalPenaltyGoals,canonicalDirectFreeKickGoals,canonicalCrossedFreeKickGoals,canonicalCornerGoals
10,949190,Brasil,1982,3-5-2,park,Argélia,1986,4-1-2-1-2,press,True,12048,90.3999999999917,2,1,CONSISTENT,3,19,6,2.367635249910042,196,163,12,7,2,0,12,32,11,11,4,25,11,14,11,1,3,4,0,0,0,0,0,0,0,0,0,0.4060071820427682,0.3,0.6333333333333333,0,3,0,0,0,56.71007045085233,0.13333333333333333,3,0,0,0,0
11,957109,Romênia,1990,5-2-3,direct,Escócia,1990,3-4-2-1,balanced,True,11872,90.16799999999184,1,1,CONSISTENT,2,15,3,1.5779840986431481,191,161,3,13,1,0,11,49,10,26,14,12,3,26,21,0,1,2,0,0,0,0,0,0,0,0,0,0.3793639999999992,0.3,0.49999999999999994,0,8,0,0,0,53.431784677651734,0.13333333333333333,1,0,0,0,1
12,965028,Camarões,2002,4-2-4,tiki,Holanda,1978,3-4-3,press,True,11589,90.10399999999187,1,0,CONSISTENT,1,10,2,0.998922692496834,188,160,2,4,0,0,6,17,3,9,4,8,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.4329359999999995,0.3,0.6,0,2,0,0,0,60.181560385492816,0.13333333333333333,1,0,0,0,0
13,972947,Romênia,1990,4-3-3,wings,Dinamarca,2026,4-4-2,counter,True,12112,90.19999999999182,4,0,CONSISTENT,4,18,8,2.810790644131482,186,140,16,5,2,1,16,35,12,14,8,32,12,27,19,3,4,5,0,0,0,0,0,0,0,0,0,0.37936399999999826,0.3,0.36666666666666664,0,3,0,0,0,53.466268160674936,0.13333333333333333,2,0,0,0,2
14,980866,Argélia,1986,3-4-2-1,balanced,Hungria,1954,3-5-2,direct,True,11608,90.00799999999192,0,1,CONSISTENT,1,13,3,0.8828530960258164,203,175,5,3,0,0,4,24,7,13,11,5,1,5,2,1,2,3,0,0,0,0,0,0,0,0,0,0.42830900343474565,0.3,0.3333333333333333,0,1,0,0,0,53.40588917841919,0.13333333333333333,1,0,0,0,0
15,988785,Rússia,2002,4-3-2-1,wings,Portugal,2026,3-5-2,counter,True,12294,90.10399999999187,2,1,CONSISTENT,3,22,5,2.7182095002165867,187,153,17,15,3,0,10,35,14,11,3,27,6,17,13,0,2,4,0,0,0,0,0,0,0,0,0,0.4271146666666663,0.3,0.6666666666666666,0,21,0,0,0,53.40348461100354,0.13333333333333333,1,0,0,0,2
16,996704,Chile,1966,4-2-3-1,park,Tunísia,1998,4-3-3,balanced,True,11972,90.14399999999185,1,3,CONSISTENT,4,14,4,2.407583978665653,179,151,11,6,2,0,11,35,6,23,14,28,6,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0.37259866666666597,0.3,0.6666666666666666,0,4,0,0,0,53.449692525735045,0.13333333333333333,1,0,0,0,3
17,1004623,Rússia,1994,3-4-2-1,park,França,2014,4-2-4,tiki,True,11764,90.32799999999175,0,2,CONSISTENT,2,17,4,2.7375068513126624,201,162,5,8,3,0,11,22,14,5,1,11,5,9,9,0,2,4,1,0,0,0,0,0,0,0,0,0.3793093700514242,0.3,0.6666666666666666,0,3,0,0,7,53.45962585141202,0.13333333333333333,0,1,0,0,1
18,1012542,Brasil,1994,4-1-2-1-2,wings,Nigéria,2010,4-4-2,park,True,11689,90.09599999999188,1,0,CONSISTENT,1,16,3,1.6497354426392294,215,178,5,6,2,0,13,30,13,13,8,12,4,19,13,0,2,3,0,0,0,0,0,0,0,0,0,0.41842200000000135,0.3133333333333333,0.3333333333333333,0,5,0,0,0,53.401927797744804,0.19999999999999998,1,0,0,0,0
19,1020461,Rússia,2002,3-5-2,press,Suíça,2022,4-3-2-1,press,True,11899,90.32799999999175,1,2,CONSISTENT,3,18,4,2.5401169125835286,195,159,7,9,4,0,14,28,15,6,3,15,6,15,10,0,1,3,1,0,0,0,0,0,0,0,0,0.36528266666666787,0.3,0.6666666666666666,0,7,0,0,0,53.46276161276744,0.13333333333333333,1,0,0,0,2
20,1028380,Chile,1974,4-3-3,park,Colômbia,2022,5-3-2,counter,True,11999,90.00799999999192,0,1,CONSISTENT,1,16,2,1.2538160829429874,189,159,10,13,1,0,15,44,11,23,13,19,5,22,18,1,1,2,0,0,0,0,0,0,0,0,0,0.3805046666666637,0.3,0.6,0,9,0,0,0,53.444068264226374,0.13333333333333333,0,0,0,0,1
21,1036299,Rússia,2014,4-2-2-2,direct,Gana,2010,5-2-3,wings,True,11833,90.50399999999165,0,1,CONSISTENT,1,13,4,1.2737944787035198,190,155,4,10,3,1,13,37,15,18,9,19,8,27,22,0,3,4,0,0,0,0,0,0,0,0,0,0.36225400000000174,0.3,0.6666666666666666,0,5,0,0,0,53.460192663659626,0.13333333333333333,1,0,0,0,0
22,1044218,Tchecoslováquia,1982,4-5-1,press,França,2002,4-3-2-1,press,True,11919,90.26399999999178,3,1,CONSISTENT,4,14,4,2.78468080658768,196,179,7,4,1,0,8,15,3,2,1,13,4,14,13,2,0,1,0,0,0,0,0,0,0,0,0,0.37963933333334027,0.3,0.6666666666666666,0,1,0,0,0,53.48084892146131,0.13333333333333333,3,0,0,0,1
23,1052137,Chile,1982,5-3-2,press,México,2006,4-2-4,press,True,11700,90.24799999999179,0,2,CONSISTENT,2,16,4,1.633004188926876,198,170,4,5,2,0,10,17,10,6,1,10,4,9,7,0,2,2,0,0,0,0,0,0,0,0,0,0.3626866666666663,0.3,0.6333333333333333,0,2,0,0,0,53.43555501508406,0.13333333333333333,1,0,0,0,1
24,1060056,Portugal,2018,3-4-2-1,balanced,Croácia,2014,3-1-4-2,press,True,11610,90.18399999999183,1,1,CONSISTENT,2,7,3,1.1883172933949044,203,178,3,1,1,0,9,10,7,2,0,5,0,9,8,0,1,0,0,0,0,0,0,0,0,0,0,0.39529400000000287,0.3,0.5666666666666667,0,0,0,0,0,53.40119211437008,0.13333333333333333,2,0,0,0,0
25,1067975,Brasil,1998,4-3-2-1,tiki,Argentina,1994,4-4-2,wings,True,12016,90.00799999999192,4,1,CONSISTENT,5,28,10,5.387485462460469,191,167,9,7,0,0,13,34,7,11,6,18,6,12,6,0,5,4,1,0,0,0,0,0,0,0,0,0.4479872481343099,0.3,0.6666666666666666,0,23,0,0,7,53.46888993241784,0.13333333333333333,2,0,0,0,3
26,1075894,Paraguai,2002,5-4-1,tiki,Coreia do Sul,1990,4-4-2,counter,True,11827,90.10399999999187,0,1,CONSISTENT,1,14,5,1.7290621264308392,186,158,4,13,3,0,21,43,13,14,4,11,2,15,11,0,4,1,0,0,0,0,0,0,0,0,0,0.36024800000000334,0.3,0.6,0,3,0,0,0,54.78784210259637,0.13333333333333333,1,0,0,0,0
27,1083813,Chile,2010,5-2-3,park,Holanda,2022,4-3-2-1,wings,True,11687,90.21599999999181,0,1,CONSISTENT,1,15,2,1.8096989816602922,208,183,3,7,2,0,10,37,8,17,11,13,6,15,13,0,1,3,0,0,0,0,0,0,0,0,0,0.34703199999999895,0.3,0.39999999999999997,0,4,0,0,0,53.405096552010036,0.13333333333333333,1,0,0,0,0
28,1091732,Portugal,2022,4-2-3-1,counter,Inglaterra,1998,4-3-1-2,wings,True,11947,90.00799999999192,1,2,CONSISTENT,3,21,6,2.9273614373568027,195,162,3,16,4,0,19,68,14,30,23,11,4,20,15,0,3,1,0,0,0,0,0,0,0,0,0,0.42058533333333603,0.3,0.6666666666666666,0,11,0,0,0,53.45648537027766,0.13333333333333333,3,0,0,0,0
29,1099651,Argentina,1978,4-1-2-1-2,counter,Irã,1998,4-2-4,wings,True,11970,90.2239999999918,0,2,CONSISTENT,2,18,3,1.5397842109165993,194,158,7,7,1,0,12,25,8,7,1,21,4,21,13,2,1,1,0,0,0,0,0,0,0,0,0,0.45102933333333417,0.3,0.6,0,3,0,0,7,63.07462449024115,0.13333333333333333,1,0,0,0,1
30,1107570,Japão,2010,5-3-2,direct,Arábia Saudita,1998,3-4-2-1,counter,True,12089,90.00799999999192,1,1,CONSISTENT,2,13,4,1.9059331858829696,179,150,5,21,4,0,21,74,10,37,23,16,4,12,7,0,2,1,0,0,0,0,0,0,0,0,0,0.36225400000000674,0.3,0.7,0,12,0,0,0,53.43604355499422,0.13333333333333333,2,0,0,0,0
31,1115489,Colômbia,1990,4-3-2-1,tiki,Tunísia,2026,3-1-4-2,press,True,11698,90.11999999999186,0,2,CONSISTENT,2,12,5,1.3204674047564717,196,162,3,6,2,0,9,26,13,11,6,10,3,13,9,0,3,1,0,0,0,0,0,0,0,0,0,0.3688619999999978,0.3,0.6666666666666666,0,2,0,0,0,53.48074460489199,0.13333333333333333,2,0,0,0,0
32,1123408,Romênia,1990,3-1-4-2,wings,Brasil,1974,4-2-4,direct,True,11977,90.37599999999172,2,3,CONSISTENT,5,19,8,3.4337149233321247,183,147,6,11,0,0,9,31,6,14,5,16,5,13,10,0,3,4,0,0,0,0,0,0,0,0,0,0.4271520908739744,0.3,0.6666666666666666,0,1,0,0,0,53.48400419846167,0.13333333333333333,3,0,0,0,2
33,1131327,Brasil,2010,3-4-3,counter,Paraguai,2006,4-1-2-1-2,counter,True,12247,90.28799999999177,0,1,CONSISTENT,1,22,10,2.02063364936808,201,171,8,21,2,1,6,40,16,14,9,17,7,25,20,0,9,8,1,0,0,0,0,0,0,0,0,0.4294746666666695,0.3,0.6,0,9,0,0,0,53.47149835731539,0.13333333333333333,1,0,0,0,0
34,1139246,Paraguai,2010,4-3-1-2,tiki,Tunísia,1998,5-4-1,direct,True,11861,90.07199999999189,1,0,CONSISTENT,1,14,3,2.05929814067797,192,167,7,8,3,0,10,35,9,21,13,19,7,9,9,0,2,3,1,0,0,0,0,0,0,0,0,0.37189066666666337,0.3,0.6,0,6,0,0,0,53.405538050684314,0.13333333333333333,0,0,0,0,1
35,1147165,Chile,2014,4-1-4-1,tiki,Costa Rica,2014,3-4-2-1,wings,True,12349,90.28799999999177,3,1,CONSISTENT,4,16,4,1.922869017705106,191,157,14,17,4,0,7,30,8,10,3,24,3,13,9,1,0,1,0,0,0,0,0,0,0,0,0,0.427468666666667,0.3,0.6666666666666666,0,7,0,0,0,67.11408005079703,0.13333333333333333,3,0,0,0,1
36,1155084,Portugal,2026,3-4-2-1,press,Gana,2026,3-4-3,counter,True,11634,90.2319999999918,2,0,CONSISTENT,2,11,5,1.9370433935910492,216,194,0,5,0,0,6,17,6,9,5,2,0,15,13,0,3,2,0,0,0,0,0,0,0,0,0,0.3593826666666693,0.3,0.5666666666666667,0,3,0,0,0,53.43866875675303,0.13333333333333333,2,0,0,0,0
37,1163003,União Soviética,1962,4-3-1-2,press,França,1982,4-2-3-1,counter,True,12059,90.01599999999192,1,5,CONSISTENT,6,22,12,2.4647136755999943,191,152,7,10,3,1,16,43,12,20,11,21,4,26,18,0,6,2,0,0,0,0,0,0,0,0,0,0.38353333333333717,0.3,0.4666666666666666,0,7,0,0,0,58.547625227799486,0.13333333333333333,4,0,0,0,2
38,1170922,Inglaterra,1950,4-3-3,tiki,Argentina,1994,3-5-2,press,True,11720,90.00799999999192,1,0,CONSISTENT,1,15,3,2.155732966122367,183,157,10,4,2,0,1,7,11,0,0,25,12,8,6,0,2,2,0,0,0,0,0,0,0,0,0,0.3936037740556262,0.26666666666666666,0.6,0,2,0,0,0,53.40039271066525,0,0,0,0,0,1
39,1178841,União Soviética,1966,5-2-3,direct,Escócia,1974,4-3-2-1,press,True,12023,90.29599999999176,3,3,CONSISTENT,6,24,9,3.287718334685923,177,147,8,6,0,0,9,29,6,12,10,26,9,28,21,0,3,2,0,0,0,0,0,0,0,0,0,0.362254000000005,0.3,0.6,0,3,0,0,0,53.46862611320312,0.13333333333333333,5,0,0,0,1
40,1186760,Camarões,1990,5-2-3,tiki,Portugal,2026,4-3-1-2,wings,True,11855,90.08799999999188,1,0,CONSISTENT,1,20,2,3.3579917447108762,180,141,9,8,4,1,11,27,16,13,6,21,9,10,5,2,1,2,1,0,0,0,0,0,0,0,0,0.3784986666666699,0.3,0.5666666666666667,0,7,0,0,0,53.40761972101822,0.13333333333333333,0,1,0,0,0
41,1194679,Polônia,2006,5-2-3,balanced,Croácia,2002,4-1-4-1,park,True,11974,90.00799999999192,4,3,CONSISTENT,7,17,13,1.6961853759157715,182,155,5,9,2,0,8,34,10,18,13,19,5,18,16,0,6,1,0,0,0,0,0,0,0,0,0,0.38955133333333286,0.3,0.6,0,7,0,0,0,55.758530470974385,0.13333333333333333,6,0,0,0,1
42,1202598,Camarões,2002,3-4-3,wings,Bélgica,2026,5-3-2,wings,True,11936,90.16799999999184,1,0,CONSISTENT,1,18,5,2.420465908659235,185,150,13,7,0,0,12,27,9,13,4,24,7,26,14,0,4,5,0,0,0,0,0,0,0,0,0,0.395145017897988,0.3,0.6333333333333333,0,5,0,0,0,53.40017880629592,0.13333333333333333,1,0,0,0,0
43,1210517,Polônia,2002,4-2-3-1,park,Espanha,2014,4-4-2,direct,True,12144,90.14399999999185,0,0,CONSISTENT,0,18,3,1.9460043791809722,178,160,17,11,4,0,16,50,5,22,12,30,8,18,15,0,3,7,0,0,0,0,0,0,0,0,0,0.3822353333333305,0.3,0.6666666666666666,0,6,0,0,0,47.84003004659101,0.13333333333333333,0,0,0,0,0
44,1218436,Austrália,2006,3-4-3,balanced,Suíça,2014,4-3-3,balanced,True,11857,90.15999999999184,3,2,CONSISTENT,5,22,9,4.416746968816458,189,160,9,2,0,0,4,16,7,7,7,20,4,18,11,0,4,0,0,0,0,0,0,0,0,0,0,0.426327999999999,0.3133333333333333,0.36666666666666664,0,2,0,0,0,53.62666880907619,0.19999999999999998,1,0,0,0,4
45,1226355,México,1994,3-5-2,wings,Chile,1982,4-2-4,park,True,12007,90.00799999999192,0,2,CONSISTENT,2,21,7,3.4276944304588,178,146,14,7,1,0,19,42,11,16,9,23,7,17,10,0,5,4,0,0,0,0,0,0,0,0,0,0.3611133333333348,0.3,0.49999999999999994,0,5,0,0,0,53.406482355621826,0.13333333333333333,0,0,0,0,2
46,1234274,Argentina,2026,4-2-2-2,balanced,Alemanha,2002,4-1-2-1-2,wings,True,12061,90.07999999999188,1,1,CONSISTENT,2,23,6,3.797593532223205,196,177,7,17,0,0,20,45,5,11,7,15,6,20,17,1,4,3,1,0,0,0,0,0,0,0,0,0.4510783704930306,0.3,0.6666666666666666,0,9,0,0,0,53.801893277493946,0.13333333333333333,1,1,0,0,0
47,1242193,México,1998,5-4-1,direct,Polônia,1974,3-4-2-1,direct,True,11975,90.02399999999191,1,1,CONSISTENT,2,17,4,1.7572128658664694,195,183,4,18,2,0,14,60,4,30,14,9,3,20,15,0,2,4,0,0,0,0,0,0,0,0,0,0.45606400000000447,0.3,0.6666666666666666,0,8,0,0,0,53.40688709425395,0.13333333333333333,2,0,0,0,0
48,1250112,Camarões,1982,4-1-2-1-2,press,Espanha,1982,4-2-2-2,wings,True,12150,90.00799999999192,2,1,CONSISTENT,3,21,5,1.9266708736474278,196,168,8,18,3,0,18,54,9,20,9,15,3,25,22,0,2,3,0,0,0,0,0,0,0,0,0,0.36555800000000027,0.3,0.6666666666666666,0,13,0,0,0,53.454744916891165,0.13333333333333333,3,0,0,0,0
49,1258031,Polônia,1974,5-3-2,balanced,Alemanha,1970,3-4-2-1,press,True,11786,90.15999999999184,0,0,CONSISTENT,0,21,2,1.8299754659855978,195,166,8,5,1,0,2,13,4,6,5,15,4,18,12,1,2,2,0,0,0,0,0,0,0,0,0,0.42475466666666667,0.3,0.6333333333333333,0,2,0,0,0,34.77039099943365,0.13333333333333333,0,0,0,0,0
50,1265950,Bulgária,1994,4-3-2-1,press,Arábia Saudita,2006,3-4-3,balanced,True,11994,90.27199999999178,0,2,CONSISTENT,2,20,5,3.0896653103450076,185,149,6,6,0,0,14,30,10,9,4,16,2,37,27,2,3,0,0,0,0,0,0,0,0,0,0,0.3739628812914267,0.3,0.6,0,2,0,0,7,53.43535758454964,0.13333333333333333,0,0,0,0,2
51,1273869,Polônia,1974,3-4-2-1,park,Iugoslávia,1950,5-4-1,counter,True,12069,90.00799999999192,1,1,CONSISTENT,2,19,3,0.7996878213590024,188,169,1,22,2,0,19,80,0,46,27,2,0,22,19,0,1,0,0,0,0,0,0,0,0,0,0,0.392855333333332,0.3,0.6666666666666666,0,17,0,0,0,53.403773670906126,0.13333333333333333,2,0,0,0,0
52,1281788,Tchecoslováquia,1990,3-4-2-1,press,Coreia do Sul,2006,4-3-1-2,balanced,True,11911,90.27999999999177,2,1,CONSISTENT,3,22,3,3.7825172312062705,193,170,6,9,4,0,10,28,8,9,5,17,10,17,15,0,0,4,0,0,0,0,0,0,0,0,0,0.36398466666666673,0.3,0.6,0,4,0,0,0,53.44736774443587,0.13333333333333333,3,0,0,0,0
53,1289707,Arábia Saudita,2022,4-5-1,tiki,México,2002,5-4-1,park,True,11554,90.34399999999174,0,1,CONSISTENT,1,10,3,0.6713985535636343,206,168,3,3,1,0,6,16,7,8,5,7,3,10,8,0,2,2,0,0,0,0,0,0,0,0,0,0.3622540000000023,0.3,0.6,0,0,0,0,0,56.677798351013585,0.13333333333333333,1,0,0,0,0
54,1297626,Tchecoslováquia,1990,4-3-3,wings,Croácia,2014,3-1-4-2,counter,True,11857,90.15199999999184,2,0,CONSISTENT,2,15,6,1.9449105075606492,200,164,3,9,0,0,12,29,11,9,3,16,4,21,13,0,4,2,0,0,0,0,0,0,0,0,0,0.3618213333333346,0.3133333333333333,0.6666666666666666,0,3,0,0,0,53.43481308661106,0.19999999999999998,1,0,0,0,1
55,1305545,União Soviética,1982,3-5-2,counter,Chile,2010,5-3-2,balanced,True,12014,90.19199999999182,1,3,CONSISTENT,4,20,7,3.409092751382599,190,158,6,12,2,0,15,48,9,25,15,14,5,17,14,0,3,2,0,0,0,0,0,0,0,0,0,0.4391113333333316,0.3,0.6666666666666666,0,7,0,0,0,53.459459110064515,0.13333333333333333,3,0,0,0,1
56,1313464,Peru,1970,4-2-4,park,Bélgica,1994,4-3-1-2,counter,True,11939,90.0559999999919,2,0,CONSISTENT,2,13,4,1.163245346621507,201,174,8,11,1,0,14,45,12,17,7,21,4,21,14,0,2,1,0,0,0,0,0,0,0,0,0,0.3921473333333338,0.3,0.49999999999999994,0,8,0,0,0,53.44818456698709,0.13333333333333333,2,0,0,0,0
57,1321383,Brasil,1978,4-1-4-1,counter,Itália,1950,4-3-1-2,direct,True,12123,90.34399999999174,3,0,CONSISTENT,3,14,3,1.7442166354689654,202,167,5,16,4,0,12,49,13,23,15,17,7,20,15,0,0,3,1,0,0,0,0,0,0,0,0,0.38068229046008767,0.3133333333333333,0.6,0,13,0,0,0,53.44751953505729,0.16666666666666666,2,0,0,0,1
58,1329302,Peru,1978,5-4-1,park,Portugal,1966,4-1-4-1,wings,True,11934,90.00799999999192,0,2,CONSISTENT,2,22,7,2.1664078681091565,194,174,6,10,3,0,14,38,5,21,8,10,2,18,14,1,5,2,0,0,0,0,0,0,0,0,0,0.39242266666666364,0.3,0.6666666666666666,0,6,0,0,0,53.41598240923469,0.13333333333333333,1,0,0,0,1
59,1337221,Austrália,2014,5-3-2,counter,Japão,1998,4-2-3-1,balanced,True,11792,90.0559999999919,1,1,CONSISTENT,2,12,3,1.6615710200970284,195,157,2,11,1,0,16,41,13,21,6,14,5,15,14,0,1,0,0,0,0,0,0,0,0,0,0,0.37936399999999715,0.3133333333333333,0.6666666666666666,0,7,0,0,0,53.45456090803486,0.19999999999999998,2,0,0,0,0
60,1345140,México,1970,4-5-1,press,Dinamarca,2026,4-3-2-1,press,True,12035,90.00799999999192,2,2,CONSISTENT,4,16,7,2.3207682824018017,209,181,11,7,0,0,6,24,2,8,6,16,3,10,10,4,3,0,0,0,0,0,0,0,0,0,0,0.3657153333333357,0.3,0.6,0,2,0,0,0,62.89475649943448,0.13333333333333333,3,0,0,0,1
61,1353059,Argélia,2026,5-2-3,counter,Argentina,2002,4-1-2-1-2,press,True,11981,90.00799999999192,0,1,CONSISTENT,1,19,3,2.0842112849105128,193,161,7,12,1,0,13,35,14,14,6,18,5,32,20,0,2,4,0,0,0,0,0,0,0,0,0,0.41511800000000154,0.3,0.6,0,8,0,0,7,53.403733214862825,0.13333333333333333,1,0,0,0,0
62,1360978,México,1966,4-2-3-1,direct,Senegal,2022,4-2-4,wings,True,12049,90.19999999999182,3,2,CONSISTENT,5,19,7,2.9830248312757304,181,153,9,7,1,0,10,30,4,13,8,28,13,21,16,0,2,3,0,0,0,0,0,0,0,0,0,0.3585173333333328,0.3,0.6666666666666666,0,5,0,0,7,53.451226160631585,0.13333333333333333,4,0,0,0,1
63,1368897,Áustria,1954,4-3-3,direct,Portugal,2002,4-3-2-1,counter,True,12366,90.31999999999175,4,1,CONSISTENT,5,22,6,3.9354269773892963,175,142,11,15,2,0,12,49,7,24,15,33,11,24,18,0,1,2,0,0,0,0,0,0,0,0,0,0.384241333333336,0.3,0.6666666666666666,0,16,0,0,0,53.431540015157175,0.13333333333333333,3,0,0,0,2
64,1376816,Peru,1982,3-4-3,direct,Irã,2026,4-1-4-1,counter,True,11878,90.16799999999184,1,0,CONSISTENT,1,15,3,2.6254643344068342,193,167,15,7,0,0,12,30,9,13,7,24,7,15,12,0,2,4,0,0,0,0,0,0,0,0,0,0.3573766666666717,0.3,0.6666666666666666,0,5,0,0,0,53.44290180598761,0.16666666666666666,1,0,0,0,0
65,1384735,Brasil,1990,5-2-3,wings,Suécia,1994,3-4-3,direct,True,11763,90.01599999999192,1,1,CONSISTENT,2,20,5,1.9342289642269257,195,168,5,5,2,0,6,16,8,7,4,19,9,24,21,0,3,2,0,0,0,0,0,0,0,0,0,0.4288523623457907,0.3,0.5666666666666667,0,5,0,0,0,53.443026806644916,0.13333333333333333,1,0,0,0,1
66,1392654,Peru,1982,5-3-2,park,México,2022,3-4-2-1,tiki,True,12129,90.32799999999175,3,2,CONSISTENT,5,18,8,3.310903500149087,178,156,9,13,1,0,8,37,5,18,9,20,4,13,9,0,3,4,0,0,0,0,0,0,0,0,0,0.36049451974065655,0.3,0.6,0,7,0,0,0,53.411975304405075,0.13333333333333333,1,0,0,0,4
