partida,semente,golsCasa,golsFora,empate,goleada,zeroAZero,staminaFinal
47,4564274,1,0,0,0,0,66.2810510499873
48,4572193,1,1,1,0,0,67.82264195966398
49,4580112,4,0,0,1,0,69.07759417598865
50,4588031,0,0,1,0,1,61.71838482727472
51,4595950,1,3,0,0,0,67.0341315315383
52,4603869,1,2,0,0,0,60.2264133854161
53,4611788,2,4,0,0,0,63.94477746917266
54,4619707,2,2,1,0,0,69.22056205649945
55,4627626,3,1,0,0,0,63.466384387207746
56,4635545,1,2,0,0,0,69.14037691158208
57,4643464,1,3,0,0,0,59.98149153703816
58,4651383,1,0,0,0,0,70.29247472952272
59,4659302,0,2,0,0,0,62.321733788612725
60,4667221,1,1,1,0,0,61.722842397250815
61,4675140,2,0,0,0,0,65.23636056658694
62,4683059,1,3,0,0,0,65.51864078525881
63,4690978,0,2,0,0,0,71.0932739204413
64,4698897,3,1,0,0,0,58.16086711432149
65,4706816,0,0,1,0,1,65.30402263919426
66,4714735,4,0,0,1,0,57.0360366397927
67,4722654,4,3,0,0,0,60.111910702008615
68,4730573,2,1,0,0,0,66.4904820764795
69,4738492,1,1,1,0,0,66.82952218581882
70,4746411,0,3,0,1,0,69.53524873496156
71,4754330,1,0,0,0,0,61.37999858603566
72,4762249,3,1,0,0,0,62.493022353542806
73,4770168,1,1,1,0,0,56.793147106416704
74,4778087,1,1,1,0,0,66.18986111714298
75,4786006,1,0,0,0,0,63.79842668756458
76,4793925,0,1,0,0,0,71.02283171039556
77,4801844,0,2,0,0,0,66.06949957074168
78,4809763,1,0,0,0,0,59.56091001205118
79,4817682,2,3,0,0,0,63.00600061177825
80,4825601,1,1,1,0,0,63.65780769774245
81,4833520,3,3,1,0,0,63.318436161001884
82,4841439,0,1,0,0,0,65.87589596816423
83,4849358,1,0,0,0,0,65.98410247424907
84,4857277,1,2,0,0,0,66.64050247928837
85,4865196,1,2,0,0,0,60.662050325746954
86,4873115,1,2,0,0,0,65.79792394604122
87,4881034,1,1,1,0,0,58.09987633829989
88,4888953,0,1,0,0,0,61.27351532381805
89,4896872,2,1,0,0,0,65.57264602566013
90,4904791,3,2,0,0,0,70.97686684331619
91,4912710,0,0,1,0,1,67.44592212471527
92,4920629,3,1,0,0,0,58.53258569726166
93,4928548,0,4,0,1,0,68.68494610504455
94,4936467,2,1,0,0,0,61.11899598597565
95,4944386,1,1,1,0,0,62.248154561870585
96,4952305,3,5,0,0,0,60.8486130743406
97,4960224,0,2,0,0,0,70.20443200990745
98,4968143,1,5,0,1,0,64.23781031038922
99,4976062,0,0,1,0,1,61.55815937873099
100,4983981,1,0,0,0,0,65.44780482709751
101,4991900,1,2,0,0,0,59.10300461105971
102,4999819,2,0,0,0,0,61.59075493068806
103,5007738,0,2,0,0,0,64.4776401180076
104,5015657,1,1,1,0,0,67.40785744935513
105,5023576,0,2,0,0,0,69.66456687272135
106,5031495,3,0,0,1,0,60.334800683355624
107,5039414,0,0,1,0,1,64.99271895259875
108,5047333,2,1,0,0,0,64.43937921628098
109,5055252,1,1,1,0,0,62.83528694115815
110,5063171,1,1,1,0,0,61.3907490860511
111,5071090,0,2,0,0,0,69.19397998088456
112,5079009,0,1,0,0,0,71.02688169037698
113,5086928,2,3,0,0,0,59.78612107173955
114,5094847,1,4,0,1,0,62.469434058239386
115,5102766,1,2,0,0,0,61.532603033322694
116,5110685,2,0,0,0,0,62.80418666725972
117,5118604,4,1,0,1,0,63.48020307836401
118,5126523,1,1,1,0,0,66.04306539335165
119,5134442,2,3,0,0,0,66.83805609703234
120,5142361,3,3,1,0,0,60.3786133072069
121,5150280,0,1,0,0,0,65.55378845378117
122,5158199,0,1,0,0,0,58.049951966205626
123,5166118,1,1,1,0,0,61.30426425232792
124,5174037,5,0,0,1,0,64.16213064981275
125,5181956,2,1,0,0,0,68.6880407939227
126,5189875,0,0,1,0,1,67.13294666063778
127,5197794,0,0,1,0,1,59.47434794286366
128,5205713,0,2,0,0,0,60.865037480368485
129,5213632,1,0,0,0,0,61.97271889694168
130,5221551,3,2,0,0,0,62.830973537954385
131,5229470,2,2,1,0,0,66.0324919143602
132,5237389,3,1,0,0,0,66.41835122197114
133,5245308,1,1,1,0,0,70.57439031113398
134,5253227,1,1,1,0,0,58.0359988926281
135,5261146,2,0,0,0,0,65.85698442675847
136,5269065,3,3,1,0,0,61.79992766048285
137,5276984,3,2,0,0,0,66.62726275756508
138,5284903,2,1,0,0,0,70.38792550320825
139,5292822,2,0,0,0,0,70.78746825404514
140,5300741,2,4,0,0,0,66.6571755498309
141,5308660,2,2,1,0,0,61.33683280406269
142,5316579,1,1,1,0,0,67.82996709518038
143,5324498,1,0,0,0,0,55.488786061481385
144,5332417,1,3,0,0,0,58.35524925960471
145,5340336,2,0,0,0,0,66.70619256368694
146,5348255,0,0,1,0,1,70.76332845926396
147,5356174,1,4,0,1,0,64.27894907653784
148,5364093,3,4,0,0,0,58.98950528203836
149,5372012,1,3,0,0,0,63.524272864624464
150,5379931,2,2,1,0,0,58.74466928021688
151,5387850,1,2,0,0,0,59.05222678633256
152,5395769,3,0,0,1,0,66.89161935554539
153,5403688,1,2,0,0,0,71.42630656104083
154,5411607,1,1,1,0,0,65.22686218777292
155,5419526,3,2,0,0,0,61.47667927487096
156,5427445,0,0,1,0,1,66.97154625382564
157,5435364,5,2,0,1,0,60.451017993023584
158,5443283,1,1,1,0,0,62.7470670278584
159,5451202,3,0,0,1,0,65.23803182317921
160,5459121,1,0,0,0,0,66.20535083446212
161,5467040,0,1,0,0,0,68.3499660928626
162,5474959,0,5,0,1,0,64.81642291411495
163,5482878,0,1,0,0,0,63.38667266689986
164,5490797,2,3,0,0,0,59.04681820240534
165,5498716,0,3,0,1,0,63.667210864888304
166,5506635,0,3,0,1,0,62.22584255836685
167,5514554,2,1,0,0,0,65.21620788531439
168,5522473,5,2,0,1,0,66.39842889530698
169,5530392,2,2,1,0,0,59.52325306523492
170,5538311,0,1,0,0,0,68.1205861025422
171,5546230,2,3,0,0,0,60.07944992299556
172,5554149,2,3,0,0,0,62.906733814624694
173,5562068,0,0,1,0,1,66.09779859720368
174,5569987,1,3,0,0,0,68.19044305614878
175,5577906,1,1,1,0,0,66.1083463930759
176,5585825,0,2,0,0,0,63.806605367298964
177,5593744,0,0,1,0,1,65.48833112648242
178,5601663,0,3,0,1,0,61.50580088179956
179,5609582,0,2,0,0,0,64.1362347306978
180,5617501,0,0,1,0,1,65.55701943228968
181,5625420,2,3,0,0,0,67.11474633133496
182,5633339,0,2,0,0,0,67.51101144962132
183,5641258,4,2,0,0,0,58.58675156694305
184,5649177,0,1,0,0,0,66.57898863326827
185,5657096,2,3,0,0,0,59.81229989428398
186,5665015,2,3,0,0,0,62.39045203273905
187,5672934,0,3,0,1,0,67.18763912815912
188,5680853,1,3,0,0,0,67.48156177393786
189,5688772,1,0,0,0,0,72.4433291578248
190,5696691,2,0,0,0,0,60.83268243099412
191,5704610,2,1,0,0,0,63.36976637482024
192,5712529,0,0,1,0,1,60.76609125540536
193,5720448,3,3,1,0,0,63.99636816035327
194,5728367,0,2,0,0,0,67.43665051818566
195,5736286,1,1,1,0,0,67.22964320647525
196,5744205,1,0,0,0,0,68.61452113500917
197,5752124,0,2,0,0,0,61.18254021333294
198,5760043,1,3,0,0,0,64.24222863654246
199,5767962,0,4,0,1,0,59.749061546833424
200,5775881,0,3,0,1,0,64.47887880638753
201,5783800,1,2,0,0,0,66.90379495094791
202,5791719,3,0,0,1,0,70.14703024415734
203,5799638,2,0,0,0,0,68.51531961050125
204,5807557,1,0,0,0,0,63.18046341113693
205,5815476,0,1,0,0,0,64.63916098935492
206,5823395,3,4,0,0,0,58.255642057013475
207,5831314,1,1,1,0,0,62.90648070540507
208,5839233,3,1,0,0,0,64.69818690676468
209,5847152,2,0,0,0,0,74.01398808644473
210,5855071,1,1,1,0,0,67.0962604257405
211,5862990,0,2,0,0,0,57.47182497011742
212,5870909,2,0,0,0,0,65.50945055615804
213,5878828,0,3,0,1,0,60.34608382226108
214,5886747,1,1,1,0,0,61.27587625288619
215,5894666,2,3,0,0,0,66.44588333713592
216,5902585,0,2,0,0,0,64.40868475760594
217,5910504,4,2,0,0,0,64.78710839324725
218,5918423,1,2,0,0,0,61.249011962905755
219,5926342,2,1,0,0,0,66.62855186034857
220,5934261,2,1,0,0,0,56.89604917944201
221,5942180,3,0,0,1,0,63.16097063274241
222,5950099,3,1,0,0,0,61.79868641716933
223,5958018,4,1,0,1,0,67.36687484140313
224,5965937,0,4,0,1,0,67.19749262716158
225,5973856,3,2,0,0,0,62.402929416686156
226,5981775,2,2,1,0,0,64.28300345396609
227,5989694,0,1,0,0,0,58.04207208256324
228,5997613,1,0,0,0,0,62.07559799979022
229,6005532,1,2,0,0,0,64.4058499816651
230,6013451,2,0,0,0,0,69.43066987295335
231,6021370,0,2,0,0,0,70.84722410866871
232,6029289,2,2,1,0,0,59.59615904571559
233,6037208,0,4,0,1,0,60.41912830497204
234,6045127,4,1,0,1,0,57.33311818064699
235,6053046,0,0,1,0,1,65.03302256918994
236,6060965,4,0,0,1,0,59.342535109006896
237,6068884,2,2,1,0,0,64.6603046364161
238,6076803,2,2,1,0,0,71.64558090316683
239,6084722,2,2,1,0,0,57.681137153562936
240,6092641,2,2,1,0,0,63.31667320934176
241,6100560,1,0,0,0,0,59.2402823212987
242,6108479,1,2,0,0,0,64.1461471385838
243,6116398,2,1,0,0,0,66.58180314986319
244,6124317,1,1,1,0,0,66.14892845032468
245,6132236,1,0,0,0,0,70.68931810886241
246,6140155,1,4,0,1,0,58.58200343531065
247,6148074,2,0,0,0,0,67.45260691151296
248,6155993,0,0,1,0,1,60.22631094540455
249,6163912,0,5,0,1,0,60.7481476688107
250,6171831,1,2,0,0,0,59.76647232399132
251,6179750,1,0,0,0,0,66.03270062214847
252,6187669,0,0,1,0,1,69.7538967149736
253,6195588,4,2,0,0,0,60.98562205551588
254,6203507,1,2,0,0,0,66.9252323000337
255,6211426,2,2,1,0,0,62.4508503045024
256,6219345,1,1,1,0,0,67.49291162162417
257,6227264,2,4,0,0,0,61.994011483415925
258,6235183,2,0,0,0,0,73.26586176611853
259,6243102,0,1,0,0,0,66.03136620139968
260,6251021,1,0,0,0,0,61.99886000758682
261,6258940,3,0,0,1,0,64.08937102633556
262,6266859,4,3,0,0,0,61.34868306939155
263,6274778,0,2,0,0,0,65.6323591514819
264,6282697,3,1,0,0,0,64.21854884198608
265,6290616,2,0,0,0,0,70.67505666639664
266,6298535,2,4,0,0,0,66.65627317687121
267,6306454,1,4,0,1,0,61.490781265344275
268,6314373,1,1,1,0,0,62.353578655431015
269,6322292,2,2,1,0,0,62.50222452375272
270,6330211,4,2,0,0,0,59.94740934976983
271,6338130,5,0,0,1,0,62.164086738790594
272,6346049,0,0,1,0,1,63.79126094434307
273,6353968,1,3,0,0,0,68.58561697632177
274,6361887,0,1,0,0,0,62.004427006051905
275,6369806,0,1,0,0,0,65.58014444211747
276,6377725,1,0,0,0,0,63.34189088754625
277,6385644,2,2,1,0,0,63.716472425940474
278,6393563,0,2,0,0,0,61.50143041239157
279,6401482,3,2,0,0,0,67.52466422079173
280,6409401,0,3,0,1,0,67.870605027524
281,6417320,1,1,1,0,0,66.30349578622632
282,6425239,1,0,0,0,0,66.38256336001166
283,6433158,1,1,1,0,0,60.14792767744229
284,6441077,1,1,1,0,0,63.83066057199617
285,6448996,0,1,0,0,0,61.147066955585565
286,6456915,0,1,0,0,0,70.27480122447275
287,6464834,4,0,0,1,0,66.38333095718944
288,6472753,1,2,0,0,0,59.91942865458597
289,6480672,3,0,0,1,0,65.09190211074801
290,6488591,2,1,0,0,0,65.00199300478123
291,6496510,5,0,0,1,0,60.86212073064862
292,6504429,1,1,1,0,0,63.2600191026629
293,6512348,2,0,0,0,0,68.45924444317068
294,6520267,4,0,0,1,0,69.27700466876796
295,6528186,0,1,0,0,0,63.181736104137286
296,6536105,0,0,1,0,1,69.04641934844801
297,6544024,1,2,0,0,0,59.494885882546825
298,6551943,1,0,0,0,0,65.41721547654774
299,6559862,2,1,0,0,0,68.74259975497945
300,6567781,3,4,0,0,0,68.62778963076035
